Title,Author,Start Date,End Date,Publication Year,Source,Volume,Issue,Beg Page,End Page,Order ,Family,Genus,Species,Age,Latitude,Longitude,Number monitored,Total Mortality,Known Mortality,Vehicle Collision,Predation,Disease,Accident/Injury,Drowning,Other natural,Unknown
Spatial ecology of the giant burrowing frog: implications for conservation prescriptions,Penman,2002,2004,2008,Australian Journal of Zoology,56,3,179,186,Anura,Myobatrachidae,Heleioporus,australiacus,Adult,-37.05957,149.77213,33,5,5,0,5,0,0,0,0,0
"Breeding Migrations in Crawfish Frogs: Long-Distance Movements, Burrow Philopatry, and Mortality in a Near-Threatened Species",Heemeyer,2009,2010,2012,Copeia,2012,3,440,450,Anura,Ranidae,Lithobates,areolatus,Adult,39.12028,-87.22217,48,14,14,0,11,2,0,0,1,0
"Habitat Use During Breeding and Emigration in Radio-Implanted Tiger Salamanders, Ambystoma tigrinum",Madison,1991,1993,1998,Copeia,1998,2,402,410,Caudata,Ambystomatidae,Ambystoma,tigrinum,Adult,40.89197,-72.80894,27,9,9,0,9,0,0,0,0,0
Survival Costs associated with Wood Frog Breeding Migrations: Effects of Timber Harvest and Drought,Rittenhouse,2004,2006,2009,Ecology,90,6,1620,1630,Anura,Ranidae,Rana,sylvatica,Adult,38.77707,-91.40086,117,46,46,0,29,0,0,0,17,0
A Multi-Scale Assessment of Habitat Selection and Movement Patterns by Northern Leopard Frogs in a Managed Forest,Blomquist,2006,2006,2009,Herpetological Conservation and Biology,4,2,142,160,Anura,Ranidae,Rana,pipiens,Adult,44.83682,-68.57896,40,5,4,0,2,2,0,0,0,1
Sexual Differences in the Ecology and Habitat Selection of Western Toads in Northeastern Oregon,Bull,2002,2005,2006,Herpetological Conservation and Biology,1,1,27,38,Anura,Bufonidae,Bufo,boreas,Adult,45.34801,-116.98153,100,39,34,1,29,3,1,0,0,5
"Spatial ecology of Scaphiophryne gottlebei in the canyons of the isalo massif, Madagascar",Andreone,2009,2011,2013,Herpetologica,69,1,11,21,Anura,Microhylidae,Scaphiophryne,gottlebei,Adult,-22.41849,45.30855,36,12,9,0,0,0,7,2,0,3
Burrow Use and Survival of Newly Metamorphosed Gopher Frogs,Roznik,2006,2006,2009,Journal of Herpetology,43,3,431,437,Anura,Ranidae,Rana,capito,Adult,29.17731,-81.83218,49,28,27,3,24,0,0,0,0,1
California Red-legged frog movement and habitat use: implications for conservation,Fellers,1997,2003,2007,Journal of Herpetology,41,2,276,286,Anura,Ranidae,Rana,draytonii,Adult,38.03930,-122.81097,123,5,5,0,5,0,0,0,0,0
"Long distance migrations, landscape use and vulnerability to prescribed fire of the gopher frog",Humphries,2009,2010,2012,Journal of Herpetology,46,4,665,670,Anura,Ranidae,Rana,capito,Adult,35.02625,-79.50218,17,2,2,0,1,0,0,0,1,0
Overwintering habitats of radio-implanted green frogs,Lamoureux,1995,1997,1999,Journal of Herpetology,33,3,430,435,Anura,Ranidae,Rana,clamitans,Adult,42.08109,-75.97123,23,7,7,3,4,0,0,0,0,0
"Emigration of radio-implanted spotted salamanders, Ambystoma maculatum",Madison,1982,1994,1997,Journal of Herpetology,31,4,542,551,Caudata,Ambystomatidae,Ambystoma,maculatum,Adult,42.08170,-75.97123,27,4,4,0,4,0,0,0,0,0
Salamander Dispersal Across a forested landscape fragmented by a golf course,McDonough,2004,2004,2007,The Journal of Wildlife Management,71,4,1163,1169,Caudata,Ambystomatidae,Ambystoma,maculatum,Adult,41.47839,-71.94478,78,16,5,0,5,0,0,0,0,11
Marking and radiotelemetry of Oregon Spotted frogs,McAllister,1996,2000,2004,Northwestern Naturalist,85,1,20,25,Anura,Ranidae,Rana,pretiosa,Adult,46.96119,-123.00234,62,6,6,0,2,1,0,0,3,0
