Title,Author,Start Date,End Date,Publication Year,Source,Volume,Issue,Beg page,End page,Order,Family,Genus,Species,Age,Latitude,Longitude,Number tracked,Total Mortality,Known Mortality,Total Harvest,Legal Harvest,Illegal Harvest,Vehicle,Fence,Electrocution,Wind Turbine,Powerline,Other Human,Predation,Disease,Accident/Injury,Starvation,Other Natural,Unknown
Comparative reproductive biology of sympatric species: nest and chick survival of American avocets and black-necked stilts,Ackerman,2005,2006,2014,Journal of Avian Biology,45,6,609,623,Charadriiformes,Recurvirostridae,Himantopus,himantopus,Juvenile,37.43647,-121.96593,79,39,34,0,0,0,0,0,0,0,0,0,21,0,0,0,13,5
Comparative reproductive biology of sympatric species: nest and chick survival of American avocets and black-necked stilts,Ackerman,2005,2006,2014,Journal of Avian Biology,45,6,609,623,Charadriiformes,Recurvirostridae,Recurvirostra,americana,Juvenile,37.43647,-121.96593,161,142,133,0,0,0,0,0,0,0,0,0,122,0,0,0,11,9
Forster's Tern Chick Survival in Response to a Managed Relocation of Predatory California gulls,Ackerman,2010,2011,2014,The Journal of Wildlife Management,78,5,818,829,Charadriiformes,Sternidae,Sterna,forsteri,Juvenile,37.43647,-121.96593,212,141,96,0,0,0,0,0,0,0,0,0,96,0,0,0,0,45
Movements and Survival of Lark Bunting Fledglings,Adams,2000,2000,2001,Condor,103,3,643,647,Passeriformes,Emberizidae,Calamospiza,melanocorys,Juvenile,40.75781,-104.03228,23,9,7,0,0,0,0,0,0,0,0,0,5,0,0,2,0,2
Juvenile survival in a population of neotropical migrant birds,Anders,1994,1995,1997,Conservation Biology,11,3,698,797,Passeriformes,Turdidae,Hylocichla,mustelina,Juvenile,36.93248,-91.09774,49,23,23,0,0,0,0,0,0,0,0,0,20,0,0,0,3,0
"Survival, habitat use, and movements of female northern pintails wintering along the Texas coast",Anderson,2002,2004,2008,Thesis: Texas A&M University Kingsville,,,1,130,Anseriformes,Anatidae,Anas,Acuta,Adult,29.22966,-96.39219,315,123,123,45,39,6,0,0,0,0,0,0,78,0,0,0,0,0
Sexual and Seasonal Differences in Mortality of the black grouse in Boreal Sweden,Angelstram,1977,1980,1984,Auk,15,2,123,134,Galliformes,Phasianidae,Tetrao,tetrix,Multiple,59.66338,15.41173,107,33,32,0,0,0,0,0,0,0,0,0,32,0,0,0,0,1
Post-fledging ecology of two songbird species across a rural-to-urban landscape gradient,Ausprey,2008,2009,2010,Thesis: The Ohio State University,,,1,172,Passeriformes,Tyrannidae,Empidonax,virescens,Juvenile,39.86521,-83.20912,31,5,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
Post-fledging ecology of two songbird species across a rural-to-urban landscape gradient,Ausprey,2008,2009,2010,Thesis: The Ohio State University,,,1,172,Passeriformes,Cardinalidae,Cardinalis,cardinalis,Juvenile,39.86521,-83.20912,45,23,23,0,0,0,0,0,0,0,0,0,19,0,0,0,4,0
Survival of dispersing spruce grouse,Beaudette,1986,1987,1992,Canadian Journal of Zoology,70,4,693,697,Galliformes,Phasianidae,Falcipennis,canadensis,Juvenile,47.62807,-82.49209,147,47,47,5,5,0,0,0,0,0,0,0,42,0,0,0,0,0
Movements and Survival of Juvenile Greater Sage-Grouse in Southeastern Idaho,Beck,1997,1999,2006,Wildlife Society Bulletin,34,4,1070,1078,Galliformes,Phasianidae,Centrocerus,urophasianus,Juvenile,44.29984,-112.44923,58,11,10,1,1,0,0,0,0,0,2,0,7,0,0,0,0,1
Evaluation of techniques for attaching transmitters to common raven nestlings,Bedrosian,2002,2002,2007,The Northwestern Naturalist,88,1,1,6,Passeriformes,Corvidae,Corvus,corax,Juvenile,43.78039,-110.68039,14,13,10,0,0,0,3,0,0,0,0,0,4,2,1,0,0,3
"Nesting and post-fledging ecology of the common raven in Grand Teton National Park, Wyoming",Bedrosian,2002,2004,2005,Thesis: Arkansas State University,,,1,124,Passeriformes,Corvidae,Corvus,corax,Juvenile,43.78039,-110.68039,62,10,10,1,1,0,0,0,0,0,0,0,6,0,3,0,0,0
Natal dispersal of eastern screech-owls,Belthoff,1985,1987,1989,Condor,91,2,254,265,Strigiformes,Strigidae,Megascops,asio,Juvenile,37.62123,-84.19797,21,4,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1
Differential mortaltiy of barn owls during fledging from marsh and off-shore nest sites,Bendel,1989,1990,1993,Journal of Field Ornithology,64,3,326,330,Strigiformes,Tytonidae,Tyto,alba,Juvenile,38.15557,-75.31643,34,10,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
The demography and movements of snail kites in Florida,Bennetts,1992,1995,1998,Thesis: University of Florida,,,1,197,Accipitriformes,Accipitridae,Rostrhamus,sociabilis,Juvenile,25.94963,-80.75677,271,31,18,1,1,0,1,0,0,0,0,0,10,0,0,2,4,13
The demography and movements of snail kites in Florida,Bennetts,1992,1995,1998,Thesis: University of Florida,,,1,197,Accipitriformes,Accipitridae,Rostrhamus,sociabilis,Adult,25.94963,-80.75677,NA,16,13,0,0,0,2,0,0,0,0,0,7,1,0,0,3,3
Survival of Male Merriam's Wild Turkeys in the Northern Black Hills of South Dakota,Berdan,2008,2009,2010,Thesis: South Dakota State University,,,1,42,Galliformes,Phasianidae,Meleagris,gallopavo,Multiple,44.30429,-103.53714,137,73,57,35,35,0,1,0,0,0,0,0,12,0,0,0,9,16
Survival Rates of Female Mallards Wintering in the Playa Lakes Region,Bergan,1986,1989,1993,The Journal of Wildlife Management,57,3,570,577,Anseriformes,Anatidae,Anas,platyrhynchos,Adult,33.42353,-101.07346,150,26,10,3,3,0,0,0,0,0,0,0,7,0,0,0,0,16
Influence of Brood Rearing on Female Mallard Survival and Effects of Harness Type,Bergmann,1990,1991,1994,Journal of Field Ornithology,65,2,151,159,Anseriformes,Anatidae,Anas,platyrhynchos,Adult,44.52085,-97.19207,62,12,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
Postfledging Survival and movement of Dickcissels: Implications for Habitat Management and Conservation,Berkeley,2003,2004,2007,Auk,124,2,396,409,Passeriformes,Cardinalidae,Spiza,americana,Juvenile,41.45354,-95.93926,60,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
Hunting impact on the population dynamics of Pyrenean grey pratridge,Besnard,1992,2001,2010,Wildlife Biology,16,2,135,143,Galliformes,Phasianidae,Perdix,perdix,Adult,42.51654,1.90948,67,49,49,11,11,0,0,2,0,0,0,0,35,0,0,1,0,0
Wild Turkey Survival in Southeastern Oklahoma,Bidwell,1983,1984,1988,Proc Okla Acad Sci,68,,59,61,Galliformes,Phasianidae,Meleagris,gallopavo,Adult,34.28190,-94.60672,45,19,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,10
Survival and Cause-Specific Mortality of Adult Female Mottled Ducks in East-Central Florida,Bielefeld,1999,2002,2006,Wildlife Society Bulletin,34,2,388,394,Anseriformes,Anatidae,Anas,fulvigula,Adult,28.05958,-80.78387,101,34,30,5,5,0,1,0,0,0,0,0,24,0,0,0,0,4
Intraseasonal variation in survival and probable causes of mortality in greater sage-grouse ,Blomberg,2008,2012,2013,Wildlife Biology,19,4,347,357,Galliformes,Phasianidae,Centrocerus,urophasianus,Juvenile,40.25007,-116.49365,74,27,26,1,1,0,0,0,0,0,0,0,25,0,0,0,0,1
