Title,Author,Start Date,End Date,Publication Year,Source,Volume,Issue,Beg page,End page,Order,Family,Genus,Species,Age,Latitude,Longitude,Number monitored,Total Mortality,Known Mortality,Total Harvest,Legal Harvest,Illegal Harvest,Vehicle,Poisoning,Agricultural,Train,Fence Entanglement,Other Human,Management Related,Predation,Disease,Accident/Injury,Other Natural,Starvation/Malnutrition,Weather,Drowning,Other Animal-Nonpredation,Unknown
"The effects of sex, time of birth, and habitat on the vulnerability of roe deer fawns to red fox predations",Aanes,1992,1993,1996,Canadian Journal of Zoology,74,10,1857,1865,Artiodactyla,Cervidae,Capreolus,capreolus,Juvenile,64.66665,11.28382,44,22,22,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,1,0,0
Precommercial Forest Thinning Alters Abundance But not survival of snowshoe hares,Abele,2001,1949,2013,The Journal of Wildlife Management,77,1,84,92,Lagomorpha,Leporidae,Lepus,americanus,Adult,44.70000,-121.10061,143,86,86,0,0,0,0,0,0,0,0,0,0,84,2,0,0,0,0,0,0,0
"Characteristics of a ringtail population in Trans Pecos, Texas",Ackerson,2000,2001,2006,Texas Journal of Science,58,2,169,184,Carnivora,Procyonidae,Bassariscus,astutus,Adult,30.04083,-103.52200,17,7,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1
"Population Dynamics and Harvest Characteristics of Wolves in the Central Brooks Range, Alaska",Adams,1986,1992,2008,Wildlife Monographs,170,1,1,25,Carnivora,Canidae,Canis,lupus,Adult,68.00040,-153.00296,50,20,20,9,9,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0
"Caribou Calf Mortality in Denali National Park, Alaska",Adams,1984,1987,1995,The Journal of Wildlife Management,59,3,584,594,Artiodactyla,Cervidae,Rangifer,tarandus,Juvenile,63.32549,-150.63184,226,112,104,0,0,0,0,0,0,0,0,0,0,102,0,1,0,0,0,1,0,8
"Population monitoring and Status of the Nushagak Peninsula Caribou Herd, 1988-2012",Aderman,1988,2013,2013,"Togiak National Wildlife Refuge, Dillingham, Alaska",,,1,30,Artiodactyla,Cervidae,Rangifer,tarandus,Adult,58.83833,-159.33420,146,88,40,28,28,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0,48
Effects of flooding and riparian buffers on survival of muskrats across a flashiness gradient,Ahlers,2008,2009,2010,Canadian Journal of Zoology,88,10,1011,1020,Rodentia,Cricetidae,Ondatra,zibethicus,Multiple,40.19981,-88.43464,31,18,15,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,3
"Population ecology of black bears in the Starkey Wildlife Management Unit in Northeastern Oregon, 1993-2000",Akenson,1993,2000,2013,"Oregon Department of Fish and Wildlife, Wildlife Technical Report 002-2013",,,1,19,Carnivora,Ursidae,Ursus,americanus,Adult,48.82050,-122.34943,65,15,13,12,9,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Population ecology of black bears in the Starkey Wildlife Management Unit in Northeastern Oregon, 1993-2000",Akenson,1993,2000,2013,"Oregon Department of Fish and Wildlife, Wildlife Technical Report 002-2014",,,1,19,Carnivora,Ursidae,Ursus,americanus,Juvenile,48.82050,-122.34943,NA,11,9,9,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Home-range use by the Central American agouti on Barro Colorado Island, Panama",Aliaga-Rossel,2003,2003,2008,Journal of Tropical Ecology,24,4,367,374,Rodentia,Dasyproctidae,Dasyprocta,punctata,Adult,9.15005,-79.86632,12,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Coyote Family Spatial Relationships with Reference to Poultry Loss,Althoff,1976,1977,1981,The Journal of Wildlife Management,45,3,641,649,Carnivora,Canidae,Canis,latrans,Adult,40.91434,-96.54687,19,11,11,9,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Survival rates of radio-collared female polar bears and their dependent young,Amstrup,1981,1992,1995,Canadian Journal of Zoology,73,7,1312,1322,Carnivora,Ursidae,Ursus,maritimus,Adult,70.06277,-147.12118,297,21,21,17,17,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Behavioral Ecology of Coyotes in South Texas,Andelt,1978,1982,1985,Wildlife Monographs,94,1,3,45,Carnivora,Canidae,Canis,latrans,Multiple,28.12071,-97.44267,63,23,14,2,2,0,4,0,0,0,0,0,0,1,0,0,7,0,0,0,0,9
Ecological correlates of mortality of roe deer fawns in a predator-free environment,Andersen,1991,1994,1998,Canadian Journal of Zoology,76,7,1217,1225,Artiodactyla,Cervidae,Capreolus,capreolus,Juvenile,63.66426,9.39566,285,22,22,0,0,0,2,0,1,0,0,0,0,0,0,2,1,13,0,3,0,0
Survival and Dispersal of white-tailed deer in the agricultural landscape of east-central Illinois,Anderson,2005,2009,2015,Wildlife Biology in Practice,11,1,26,41,Artiodactyla,Cervidae,Odocoileus,virginianus,Adult,39.49522,-88.74045,105,39,34,27,27,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5
Survival rates and causes of mortality in Eurasian lynx in multi-use landscapes,Andren,1994,2002,2006,Biological Conservation,131,1,23,32,Carnivora,Felidae,Lynx,lynx,Adult,67.00000,17.66667,202,21,21,16,1,15,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
Survival rates and causes of mortality in Eurasian lynx in multi-use landscapes,Andren,1994,2002,2006,Biological Conservation,131,1,23,32,Carnivora,Felidae,Lynx,lynx,Adult,64.58333,12.33333,NA,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Survival rates and causes of mortality in Eurasian lynx in multi-use landscapes,Andren,1994,2002,2006,Biological Conservation,131,1,23,32,Carnivora,Felidae,Lynx,lynx,Adult,61.25000,11.50000,NA,9,9,9,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Survival rates and causes of mortality in Eurasian lynx in multi-use landscapes,Andren,1994,2002,2006,Biological Conservation,131,1,23,32,Carnivora,Felidae,Lynx,lynx,Adult,59.75000,11.25000,NA,9,9,9,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Survival rates and causes of mortality in Eurasian lynx in multi-use landscapes,Andren,1994,2002,2006,Biological Conservation,131,1,23,32,Carnivora,Felidae,Lynx,lynx,Adult,59.50000,15.50000,NA,11,10,10,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Survival rates and causes of mortality in Eurasian lynx in multi-use landscapes,Andren,1994,2002,2006,Biological Conservation,131,1,23,32,Carnivora,Felidae,Lynx,lynx,Juvenile,67.00000,17.66667,NA,47,12,5,1,4,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,35
Survival rates and causes of mortality in Eurasian lynx in multi-use landscapes,Andren,1994,2002,2006,Biological Conservation,131,1,23,32,Carnivora,Felidae,Lynx,lynx,Juvenile,64.58333,12.33333,NA,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Survival rates and causes of mortality in Eurasian lynx in multi-use landscapes,Andren,1994,2002,2006,Biological Conservation,131,1,23,32,Carnivora,Felidae,Lynx,lynx,Juvenile,61.25000,11.50000,NA,14,8,4,1,3,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6
Survival rates and causes of mortality in Eurasian lynx in multi-use landscapes,Andren,1994,2002,2006,Biological Conservation,131,1,23,32,Carnivora,Felidae,Lynx,lynx,Juvenile,59.75000,11.25000,NA,5,4,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
