Title,Author,Start Date,End Date,Publication Year,Source,Volume,Issue,Beg Page,End Page,Order ,Family,Genus,Species,Age,Latitude,Longitude,Number monitored,Total Mortality,Known Mortality,Total Harvest,Legal Harvest,Illegal Harvest,Vehicle,Agricultural,Other human,Predation,Disease,Accident/Injury,Starvation,Weather,Drowning,Other natural,Unknown
Home Range and Behavior of the Timber Rattlesnake,Adams,2000,2002,2005,Thesis: Marshall University,,,1,98,Squamata,Viperidae,Crotalus,horridus,Adult,38.96692,-79.89165,17,9,8,0,0,0,3,0,0,4,0,0,0,0,0,1,1
Ecology and conservation of prairie rattlesnakes (Crotalus virdis virdis) in relation to movement in a fragmented urban landscape,Andrus,2003,2006,2010,Thesis: University of Lethbridge,,,1,83,Squamata,Viperidae,Crotalus,viridis,Adult,49.64444,-112.85943,18,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Effects of fragmentation on the spatial ecology on the California Kingsnake (Lampropeltis californiae),Anguiano,2004,2006,2014,Journal of Herpetology,49,3,420,427,Squamata,Colubridae,Lampropeltis,californiae,Adult,32.71066,-116.96532,34,4,4,0,0,0,0,0,1,3,0,0,0,0,0,0,0
Disruptive Influences of drought on the activity of a freshwater turtle,Anthonysamy,2005,2006,2013,The American Midland Naturalist,169,2,322,335,Testudines,Emydidae,Emydoidea,blandingii,Adult,41.36462,-88.20138,16,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Survival of Eastern Massasauga Rattlesnakes in Michigan,Bailey,2008,2009,2011,Herpetologica,67,2,167,173,Squamata,Viperidae,Sistrurus,catenatus,Adult,42.53575,-85.30204,27,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Terrestrial Habitat Use by Nesting Painted Turtles in Landscapes with Different Levels of Fragmentation,Baldwin,2001,2001,2004,Northeastern Naturalist,11,1,41,48,Testudines,Emydidae,Chrysemys,picta,Adult,43.13651,-70.91693,8,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Black Pine Snake: Spatial Ecology and Associations between Habitat Use and Prey Dynamics,Baxley,2004,2006,2009,Journal of Herpetology,43,2,284,293,Squamata,Colubridae,Pituophis,melanoleucus,Adult,31.07657,-88.95660,8,5,5,0,0,0,2,0,0,1,0,0,0,0,0,2,0
Survival during early life stages of the desert tortoise in the south-central mojave desert,Bjurlin,1998,1999,2004,Journal of Herpetology,38,4,527,535,Testudines,Testudinidae,Gopherus,agassizii,Juvenile,34.20151,-116.08493,19,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Terrestrial Activity of Chrysemys picta in Northern Virginia,Bowne,1999,2001,2008,Copeia,2008,2,306,310,Testudines,Emydidae,Chrysemys,picta,Adult,39.10459,-78.05114,60,3,3,0,0,0,2,0,0,1,0,0,0,0,0,0,0
Habitat fragmentation effects on annual survival of the federally protected eastern indigo snake,Breininger,1998,2004,2012,Animal Conservation,15,4,361,368,Squamata,Colubridae,Drymarchon,couperi,Adult,28.62731,-80.74236,103,32,21,0,0,0,15,0,5,0,1,0,0,0,0,0,11
Survivorship and predation of hatchling and yearling gopher tortoises,Butler,1992,1993,1996,Journal of Herpetology,30,3,455,458,Testudines,Testudinidae,Gopherus,polyphemus,Juvenile,30.27167,-81.51279,20,19,17,0,0,0,0,0,0,17,0,0,0,0,0,0,2
