altitude,latitude,clutch.size,body.size,clutch.volume,egg.size
3462,34.82,181.9700859,3.630780548,177.827941,1.9498446
3462,34.82,269.1534804,3.630780548,257.0395783,1.9498446
3462,34.82,158.4893192,3.715352291,151.3561248,1.9498446
3462,34.82,234.4228815,3.801893963,223.8721139,1.9498446
3462,34.82,245.4708916,3.89045145,234.4228815,1.9498446
3462,34.82,301.995172,3.89045145,288.4031503,1.9498446
3462,34.82,354.8133892,3.89045145,338.8441561,1.9498446
3462,34.82,407.3802778,3.981071706,389.045145,1.9498446
3462,34.82,398.1071706,3.981071706,380.1893963,1.9498446
2035,33.16,537.0317964,4.073802778,549.5408739,2.041737945
3098,34.77,524.8074602,4.073802778,741.3102413,2.238721139
3462,34.82,389.045145,4.073802778,371.5352291,1.9498446
3462,34.82,588.8436554,4.073802778,562.3413252,1.9498446
2035,33.16,467.7351413,4.168693835,489.7788194,2.041737945
3462,34.82,588.8436554,4.168693835,562.3413252,1.9498446
3098,34.77,407.3802778,4.168693835,575.4399373,2.238721139
3462,34.82,363.0780548,4.168693835,346.7368505,1.9498446
2035,33.16,588.8436554,4.265795188,616.5950019,2.041737945
3462,34.82,416.8693835,4.265795188,398.1071706,1.9498446
3462,34.82,275.4228703,4.265795188,263.0267992,1.9498446
3462,34.82,588.8436554,4.365158322,562.3413252,1.9498446
3462,34.82,338.8441561,4.365158322,323.5936569,1.9498446
3462,34.82,575.4399373,4.365158322,549.5408739,1.9498446
3462,34.82,275.4228703,4.365158322,263.0267992,1.9498446
3462,34.82,371.5352291,4.365158322,354.8133892,1.9498446
3462,34.82,549.5408739,4.365158322,524.8074602,1.9498446
3462,34.82,616.5950019,4.466835922,588.8436554,1.9498446
3462,34.82,501.1872336,4.466835922,478.6300923,1.9498446
3462,34.82,524.8074602,4.570881896,501.1872336,1.9498446
3462,34.82,426.5795188,4.570881896,407.3802778,1.9498446
3462,34.82,489.7788194,4.570881896,467.7351413,1.9498446
3061,32.78,588.8436554,4.570881896,645.654229,2.089296131
3462,34.82,512.861384,4.677351413,489.7788194,1.9498446
2035,33.16,562.3413252,4.677351413,588.8436554,2.041737945
3493,34.3,691.8309709,4.677351413,1047.128548,2.290867653
3462,34.82,457.0881896,4.677351413,436.5158322,1.9498446
3462,34.82,616.5950019,4.786300923,588.8436554,1.9498446
3462,34.82,489.7788194,4.786300923,467.7351413,1.9498446
3462,34.82,630.9573445,4.786300923,602.5595861,1.9498446
2035,33.16,758.577575,4.786300923,794.3282347,2.041737945
3462,34.82,691.8309709,4.786300923,660.693448,1.9498446
2035,33.16,794.3282347,4.786300923,831.7637711,2.041737945
3462,34.82,575.4399373,4.897788194,549.5408739,1.9498446
3462,34.82,512.861384,4.897788194,489.7788194,1.9498446
3462,34.82,489.7788194,4.897788194,467.7351413,1.9498446
3462,34.82,912.0108394,4.897788194,870.96359,1.9498446
3493,34.3,301.995172,5.011872336,457.0881896,2.290867653
3462,34.82,537.0317964,5.011872336,512.861384,1.9498446
3462,34.82,1174.897555,5.011872336,1122.018454,1.9498446
3462,34.82,645.654229,5.011872336,630.9573445,1.9498446
3098,34.77,537.0317964,5.011872336,758.577575,2.238721139
3462,34.82,478.6300923,5.12861384,457.0881896,1.9498446
3493,34.3,691.8309709,5.12861384,1047.128548,2.290867653
3493,34.3,537.0317964,5.12861384,812.8305162,2.290867653
3462,34.82,707.9457844,5.12861384,676.0829754,1.9498446
3493,34.3,549.5408739,5.12861384,831.7637711,2.290867653
3493,34.3,741.3102413,5.12861384,1122.018454,2.290867653
3462,34.82,724.4359601,5.12861384,691.8309709,1.9498446
2035,33.16,812.8305162,5.248074602,851.1380382,2.041737945
2035,33.16,933.2543008,5.248074602,977.237221,2.041737945
3462,34.82,794.3282347,5.248074602,758.577575,1.9498446
3462,34.82,741.3102413,5.248074602,707.9457844,1.9498446
3493,34.3,478.6300923,5.248074602,724.4359601,2.290867653
2035,33.16,707.9457844,5.248074602,741.3102413,2.041737945
3493,34.3,630.9573445,5.248074602,954.992586,2.290867653
3462,34.82,263.0267992,5.248074602,251.1886432,1.9498446
3462,34.82,549.5408739,5.248074602,524.8074602,1.9498446
